site,sampleid,mel_s,pb_s,het_s,sum_s,mel_r,pb_r,het_r,sum_r,sum_t,eggs_r,yield_kgha,b,g,nir,r,re,rndvi,gndvi,bndvi,rendvi,sr,rdvi,savi,vari,evi,nli
a,11,4,0,0,4,1411.764705882353,0,47.05882352941177,1764.705882352941,1768.705882352941,305.88235294117646,1062.0904411764704,0.045785395994231,0.045785395994231,0.448048378140838,0.02924440762511,0.142852191378673,0.8774571562895959,0.8145716295957183,0.8145716295957183,0.5164933027739919,15.320822493122828,0.7699310611238243,0.9857415144258463,0.5656120165319569,4.737661190762244,0.7456916888276454
a,12,0,0,0,0,2720,0,17.391304347826086,4437.391304347826,4437.391304347826,1700,1267.1837677484789,0.050829994266967,0.050829994266967,0.576729580813797,0.025446877724051,0.166308434592688,0.9154836514670838,0.8380074297793149,0.8380074297793149,0.5523555157491974,22.66406067840314,0.838110316103505,1.0849509262211827,0.9974943416702657,4.958249879417773,0.8578640368932027
a,13,4,0,8,12,2000,346.6666666666667,26.666666666666668,6240,6252,3866.6666666666665,1098.7142494929008,0.048839690766551,0.048839690766551,0.460131223310124,0.031548708047379,0.152557877871123,0.8716697345760092,0.8080845509407893,0.8080845509407893,0.5020055764759133,14.584788151042869,0.7598081261758103,0.9864869884130981,0.5480726086534151,4.784382499941296,0.7406274568795225
a,14,0,0,0,0,1855.3846153846157,15.384615384615383,61.53846153846154,2220.769230769231,2220.769230769231,288.46153846153845,1289.158052738337,0.048403273104624,0.048403273104624,0.480206191982922,0.026204196583881,0.158602591396264,0.8965100354357195,0.8168656586706874,0.8168656586706874,0.5034426716637045,18.325545316596788,0.803730243636955,1.021897324504712,0.8471573035900032,5.136212705119361,0.7959192072537989
a,15,8,8,0,16,11660,600,1000,15510,15526,2250,1692.0199442190672,0.044525042325258,0.044525042325258,0.443864290985991,0.029190927650779,0.143812918722847,0.8765855380059006,0.8176657871564024,0.8176657871564024,0.5105717344591313,15.20555620212179,0.7684022054410942,0.9825525905027102,0.5253041238677386,4.636566428379537,0.7419089561979098
a,16,12,4,0,16,0,26.666666666666668,0,436.6666666666667,452.6666666666667,410,1831.1904158215011,0.044745439266348,0.044745439266348,0.433254899785799,0.032575079773584,0.142967007122934,0.8601417632914226,0.812780721641009,0.812780721641009,0.5037779528726654,13.30019459037939,0.7398438529580776,0.9603562463426117,0.37360950694074,4.417433334776706,0.7042458965300852
a,17,0,0,0,0,40,40,0,405,405,325,1464.952332657201,0.048183333676528,0.048183333676528,0.415444269552267,0.039730114983645,0.145628746078514,0.8254290384809192,0.7921463979238093,0.7921463979238093,0.4808919979343783,10.456659129309987,0.6813330975675348,0.916116220083012,0.21276602638484152,4.211781586298542,0.6257596457437761
a,18,0,0,4,4,11.428571428571429,22.857142857142858,0,608.5714285714287,612.5714285714287,574.2857142857143,1501.576140973631,0.0455981329233,0.0455981329233,0.440705597728163,0.029276858333606,0.142102991505103,0.8754129735865792,0.8124705608891145,0.8124705608891145,0.5123510733016083,15.053035838284966,0.7663478743236969,0.97961951662877,0.557480396418058,4.748702653041452,0.7380126769200481
a,19,0,0,0,0,80,60,60,960,960,760,1311.132337728195,0.045849311373609,0.045849311373609,0.376296178952551,0.040695681293704,0.140119880383268,0.804813066280617,0.7827795751735513,0.7827795751735513,0.4573372463920617,9.246587524528493,0.6477240716560088,0.8724572756943635,0.1266382553645149,4.0332607937811495,0.5535171683331488
a,20,0,0,0,0,133.33333333333334,80,26.666666666666668,1193.3333333333337,1193.3333333333337,953.3333333333334,1545.524710953347,0.046477421844269,0.046477421844269,0.42031292506942,0.032211977700867,0.142930328818586,0.8576344528061538,0.8008638261199398,0.8008638261199398,0.49247388998641795,13.04834273053986,0.7355368546401109,0.9504126581954688,0.44286148077825227,4.661272666900342,0.6915668406220952
