"x","y","cells","B02M","B03M","B04M","B08M","B02J","B03J","B04J","B08J","B02N","B03N","B04N","B08N","B02JA","B03JA","B04JA","B08JA","B05M","B06M","B07M","B11M","B12M","B8AM","B05J","B06J","B07J","B11J","B12J","B8AJ","B05N","B06N","B07N","B11N","B12N","B8AN","B05JA","B06JA","B07JA","B11JA","B12JA","B8AJA","class"
643289.56068349,6661328.83027309,7311,602,870,1079,2509,255,311,183,3501,456,481,688,929,665,590,777,1075,1442.625,2051.0625,2271.8125,2979.9375,2356.25,2509.9375,489.25,2302.375,3367.125,1093,527.5,3621.8125,816.6875,847.625,896.1875,1218.0625,991.1875,1015.8125,902.875,941.125,991.4375,1140.9375,896.625,1114.3125,6
643319.56068349,6661328.83027309,7314,586,843,975,2290,208,312,152,3693,448,431,561,770,711,595,716,883,1289.9375,1890.375,2112.625,2811.3125,2238.8125,2338.4375,481.1875,2323.875,3442.25,1060,498.625,3721.6875,689.8125,713.9375,759.125,1048.1875,825.5625,857.375,777.25,744.8125,782.5625,955.8125,762.6875,908.625,6
643329.56068349,6661328.83027309,7315,573,774,930,2246,211,292,152,3765,468,435,562,745,681,579,704,880,1280.8125,1864.125,2074.875,2785.9375,2219.9375,2290.8125,471.5625,2347.625,3502.75,1055.5,485.875,3768.0625,656.4375,719.8125,720.375,992.5625,790.1875,805.625,727.25,728.4375,746.6875,867.9375,698.5625,861.375,6
642629.56068349,6661358.83027309,6939,947,1264,1606,3267,268,640,262,4238,737,793,945,2161,996,966,1198,2082,2179.1875,2689.125,2931.5625,3765.875,2477.6875,3324.0625,1138.3125,3382.625,3935.8125,1783.375,795.125,4286.9375,1310.0625,1679.0625,1869.9375,1051.3125,708.375,2120.25,1502.1875,1646.1875,1742.4375,764.5625,521,1981.875,6
642619.56068349,6661368.83027309,6836,977,1281,1643,3280,257,634,247,4505,708,758,990,2205,942,1051,1220,2191,2163.6875,2742.625,2990.0625,3768.875,2453.1875,3355.0625,1126.8125,3541.125,4108.3125,1780.375,803.125,4456.4375,1470.5625,1930.0625,2114.4375,1240.3125,805.875,2373.25,1687.1875,1855.1875,2007.4375,965.0625,625.5,2277.375,6
642649.56068349,6661368.83027309,6839,1042,1344,1748,3249,272,582,270,4177,582,681,942,1819,1084,961,1260,2160,2203.625,2739.4375,2964,3794.375,2490.875,3329.1875,1127.375,3346.3125,3933,1755.625,790.1875,4281.3125,1322.4375,1698.125,1866,1131.1875,745.125,2151.0625,1574.875,1787.3125,1825.1875,862.125,603.1875,2079.1875,6
642659.56068349,6661368.83027309,6840,1092,1410,1829,3321,262,568,252,4312,540,647,935,1868,1121,1070,1473,2272,2248.6875,2778.375,3008.8125,3849.875,2522.9375,3353.875,1095.0625,3373.8125,3987.1875,1733.75,777.5625,4335.125,1308.3125,1668.375,1823.4375,1134.875,743.125,2127.4375,1685.3125,1919.1875,1978.5625,934.5,658.125,2262.25,6
642679.56068349,6661368.83027309,6842,1036,1345,1826,3437,268,597,250,4504,603,704,976,1931,1086,1146,1544,2508,2286.375,2818.25,3079.3125,3918.6875,2551.0625,3408.0625,1070.9375,3508.9375,4177.375,1729.125,766.375,4526.375,1311.75,1644.0625,1773.8125,1027.375,678.375,2075.6875,1583.875,1777.8125,1922.375,842.9375,575.5,2165.3125,6
643309.56068349,6661368.83027309,6905,647,867,1068,2537,234,317,169,3797,548,514,689,922,757,601,806,1166,1462.125,2095.125,2307.875,2958.9375,2333.625,2531.5,486.3125,2388.3125,3567.5625,1089,518.8125,3814.375,845.625,891.1875,923.75,1222,974.125,1040.25,915.0625,971.8125,1019.75,1147.3125,915.0625,1102.625,6
643389.56068349,6661368.83027309,6913,635,890,1096,2306,237,308,160,3859,373,426,515,748,628,521,619,839,1372.6875,1912.25,2103.875,2804.4375,2257.25,2295.25,449.125,2384.875,3635.25,1050.75,480.9375,3906.8125,634.625,625.25,683,905.0625,775.4375,773.5625,711.375,728.375,787,893.25,771.5,837.375,6
642689.56068349,6661388.83027309,6639,1013,1329,1793,3440,272,585,251,4603,616,719,975,1998,943,820,978,1426,2284.5,2853.875,3107.125,3930.375,2548.875,3467.5,1082.5625,3554.6875,4198.75,1705.25,756,4564.875,1241.25,1593.375,1704.375,930.3125,606.375,2058.0625,1215.1875,1374.5,1478.6875,608.3125,418.5625,1627.6875,6
643309.56068349,6661398.83027309,6599,682,953,1148,2601,251,311,188,3512,519,505,688,948,733,702,836,1088,1536.4375,2173.6875,2398.25,2985.125,2328.5625,2612.4375,498.6875,2265.25,3361.625,1081.0625,522.125,3593.3125,835.4375,880.25,895.6875,1179.375,971,1036.375,954.375,983.5625,1071.375,1066.625,853.25,1189.5,6
643419.56068349,6661398.83027309,6610,650,873,1084,2413,221,349,246,4026,418,442,544,788,645,483,605,870,1631.375,2145.4375,2356.25,3147.75,2419,2632.125,712.9375,2779.4375,3889.625,1380.625,709.5625,4192.5625,853.5,1075.8125,1189.3125,1142.875,923.4375,1371.4375,908.875,954,1084.5625,1126.625,857.5625,1246.625,6
643309.56068349,6661488.83027309,5681,797,1139,1356,2640,243,342,206,3217,450,503,642,784,740,676,778,1026,1707.6875,2255.375,2456.875,2840.5,2227.9375,2615.875,508.3125,2114.375,3039.6875,1084,539.25,3251.875,794.4375,834,865.625,957.5,801.9375,950.9375,904.3125,955.125,963.4375,798.5625,650.4375,1000.625,6
643389.56068349,6661528.83027309,5281,756,1038,1242,2684,228,286,146,3848,464,414,584,767,712,519,671,912,1627.3125,2233.625,2457.1875,3048.8125,2356.875,2675.375,465.875,2337.3125,3503.8125,1042.625,486.75,3750,674.6875,726.0625,759.375,950.625,767.8125,838.6875,761.1875,802.75,874.9375,921.25,736.3125,925.4375,6
643319.56068349,6661558.83027309,4968,892,1163,1425,2712,259,346,197,3473,521,469,610,759,714,608,714,959,1773.375,2339.875,2506.6875,2902.3125,2286.4375,2696.3125,515.9375,2239,3208.6875,1090.125,537.0625,3473.4375,689.75,748.25,803.5,848.6875,709,803.4375,808.625,835.5625,929.1875,825.8125,649.9375,904.4375,6
